批次,批内序号,CCD编号,名称,等级,等级说明,结论,合成/单体证据,环肽证据,口服证据,建议,来源数,来源,CCD链接,PDB示例
2,27,LYP,N~6~-METHYL-N~6~-PROPYL-L-LYSINE,B,B级：可进入肽，但缺少口服环肽直接证据,保留为赖氨酸侧链烷基化探针残基,N6-甲基-N6-丙基赖氨酸已在组蛋白肽中用于LSD1自杀失活研究。,当前为线性组蛋白肽，不是宏环。,未找到直接口服证据。,适合表观遗传读写酶探针；高碱性侧链不利于被动渗透。,1,结构与论文入口｜RCSB PDB 2UXN｜https://www.rcsb.org/structure/2UXN,https://www.rcsb.org/ligand/LYP,2UXN
2,28,9RI,"N~6~-[(1R,2S,4S)-bicyclo[2.2.1]heptan-2-yl]-N~6~-methyl-L-lysine",B,B级：可进入肽，但缺少口服环肽直接证据,保留为细胞活性甲基赖氨酸模拟物,该norbornyl/methyl赖氨酸已进入短肽UNC4976。,UNC4976是线性peptidomimetic，不是环肽。,具有细胞活性但无口服证据。,保留为芳香笼靶点和细胞活性侧链模拟物，不标为环肽验证。,2,结构与论文入口｜RCSB PDB 8SII｜https://www.rcsb.org/structure/8SII；短肽/细胞证据｜UNC4976 study｜https://pmc.ncbi.nlm.nih.gov/articles/PMC6800648/,https://www.rcsb.org/ligand/9RI,8SII
2,29,A1BIE,N~6~-(2-methylprop-2-enoyl)-L-lysine,B,B级：可进入肽，但缺少口服环肽直接证据,保留为赖氨酸甲基丙烯酰化PTM残基,已在合成组蛋白H3肽中使用并完成读者蛋白结构研究。,当前为线性PTM肽，不是宏环。,无直接口服证据。,适合表观遗传PTM专题，不作为通用口服设计残基。,1,结构与论文入口｜RCSB PDB 9EHI｜https://www.rcsb.org/structure/9EHI,https://www.rcsb.org/ligand/A1BIE,9EHI
2,30,A1IL6,"(2~{S},4~{S})-4-hexylsulfanylpyrrolidine-2-carboxylic acid",A,A级：有直接环肽/宏环强证据,保留为可钉合4-巯基脯氨酸衍生物,4-巯基脯氨酸侧链经己基硫醚表达，已有肽-折叠体合成。,9GFK为MDM2结合钉合foldamer，属于侧链宏环约束直接证据。,有细胞活性但未找到口服证据。,适合构建侧链钉合与螺旋预组织；需区分游离巯基前体和最终硫醚。,1,结构与论文入口｜RCSB PDB 9GFK｜https://www.rcsb.org/structure/9GFK,https://www.rcsb.org/ligand/A1IL6,9GFK
2,31,C1J,N~5~-(N-octylcarbamimidoyl)-L-ornithine,A,A级：有直接环肽/宏环强证据,保留为环状meditope疏水Arg类似物,N-octyl胍基鸟氨酸已实际进入meditope变体。,12残基环肽直接结构和动力学证据。,未找到口服证据。,可扫描长疏水侧链，但可能降低溶解度。,2,结构与论文入口｜RCSB PDB 6AXP｜https://www.rcsb.org/structure/6AXP；环肽直接证据｜Meditope cyclic-peptide study｜https://pubmed.ncbi.nlm.nih.gov/29199990/,https://www.rcsb.org/ligand/C1J,6AXP
2,32,C4G,N~5~-[N-(3-aminopropyl)carbamimidoyl]-L-ornithine,A,A级：有直接环肽/宏环强证据,保留为环状meditope氨丙基Arg类似物,已实际进入meditope变体。,12残基环肽直接结构证据。,未找到口服证据。,可提供侧链胺把手；额外正电荷通常不利于被动扩散。,2,结构与论文入口｜RCSB PDB 6AYN｜https://www.rcsb.org/structure/6AYN；环肽直接证据｜Meditope cyclic-peptide study｜https://pubmed.ncbi.nlm.nih.gov/29199990/,https://www.rcsb.org/ligand/C4G,6AYN
2,33,ZT1,N~6~-[(1-methyl-1H-imidazol-5-yl)methyl]-N~6~-propan-2-yl-L-lysine,B,B级：可进入肽，但缺少口服环肽直接证据,保留为CDYL甲基赖氨酸模拟残基,N6-异丙基/咪唑甲基赖氨酸已进入短肽抑制剂UNC6261。,当前为线性peptidomimetic，不是宏环。,未找到直接口服证据。,适合染色质读者蛋白专题；需验证选择性保护和电荷状态。,1,结构与论文入口｜RCSB PDB 7N27｜https://www.rcsb.org/structure/7N27,https://www.rcsb.org/ligand/ZT1,7N27
2,34,005,"(2S,3S)-3-amino-2-hydroxy-4-phenylbutanoic acid",B,B级：可进入肽，但缺少口服环肽直接证据,保留为口服小分子肽模拟物中的羟基氨基酸,该AHPBA立体异构体可作为蛋白酶过渡态模拟构件。,9IZB中的TMP1不是环肽，而是口服双靶点肽模拟抑制剂。,TMP1在小鼠报告77.5%口服生物利用度，并有犬PK；这是完整非环状化合物证据。,保留并标注“非环状口服peptidomimetic证据”，不能直接外推到环肽。,2,结构与论文入口｜RCSB PDB 9IZB｜https://www.rcsb.org/structure/9IZB；非环状口服证据｜TMP1 oral study｜https://pmc.ncbi.nlm.nih.gov/articles/PMC11601862/,https://www.rcsb.org/ligand/005,9IZB
2,35,2IQ,2-(hexylamino)ethanoic acid,A,A级：有直接环肽/宏环强证据,保留为N-己基甘氨酸宏环残基,N-烷基甘氨酸可作为peptoid样单元进入宏环。,7WMC直接显示其位于NNMT结合宏环肽1。,未找到直接口服证据。,适合降低骨架供体和增加疏水接触；注意长烷基导致溶解度下降。,1,结构与论文入口｜RCSB PDB 7WMC｜https://www.rcsb.org/structure/7WMC,https://www.rcsb.org/ligand/2IQ,7WMC
2,36,4BA,4-[(2-CARBOXY-ETHYLAMINO)-METHYL]-BENZOIC ACID,B,B级：可进入肽，但缺少口服环肽直接证据,保留为芳香β-氨基酸样连接构件,已用于HIV-1 gp41细胞进入抑制肽。,当前直接证据为线性抑制肽，不是宏环。,无直接口服证据。,可作为芳香刚性连接单元；双羧酸和延长骨架会增加极性。,1,结构与论文入口｜RCSB PDB 1FAV｜https://www.rcsb.org/structure/1FAV,https://www.rcsb.org/ligand/4BA,1FAV
3,1,0JT,(4R)-4-amino-5-methylhexanoic acid,A,A级：有直接环肽/宏环强证据,保留为syringolin/glidobactin宏内酰胺残基,该β-氨基酸样单元已随天然产物及嵌合物完成合成。,4GK7直接显示其位于syringolin-glidobactin宏环蛋白酶体抑制剂中。,未找到口服暴露证据。,保留于天然宏内酰胺残基区；亲脂侧链和亲电药效团需分别评估。,2,结构与论文入口｜RCSB PDB 4GK7｜https://www.rcsb.org/structure/4GK7；宏内酰胺与合成证据｜Syringolin macrocycle study｜https://pmc.ncbi.nlm.nih.gov/articles/PMC2672505/,https://www.rcsb.org/ligand/0JT,4GK7
3,2,24M,"(1R,2R)-2-[(1S,2S)-2-amino-1-hydroxy-4-methylpentyl]cyclopentanecarboxylic acid",B,B级：可进入肽，但缺少口服环肽直接证据,保留为环戊基statine样过渡态模拟构件,已进入NVP-AMK640等BACE肽样抑制剂。,1YM4为线性肽样蛋白酶抑制剂，不是环肽。,未找到直接口服证据。,仅在蛋白酶过渡态模拟方向使用；环化兼容性需单独验证。,1,结构与论文入口｜RCSB PDB 1YM4｜https://www.rcsb.org/structure/1YM4,https://www.rcsb.org/ligand/24M,1YM4
3,3,24O,"(1R,2R)-2-[(1S,2S)-2-amino-1-hydroxy-4-methylpentyl]-4-oxocyclopentanecarboxylic acid",B,B级：可进入肽，但缺少口服环肽直接证据,保留为含酮环戊基statine样构件,已进入NVP-AUR200等BACE肽样抑制剂。,1YM2为线性肽样抑制剂，不是环肽。,未找到直接口服证据。,保留为蛋白酶抑制药效构件，不标注为增渗或口服残基。,1,结构与论文入口｜RCSB PDB 1YM2｜https://www.rcsb.org/structure/1YM2,https://www.rcsb.org/ligand/24O,1YM2
3,4,3V8,"(4S)-4-[4-(2-carboxyethyl)-1H-1,2,3-triazol-1-yl]-L-proline",A,A级：有直接环肽/宏环强证据,保留为可连接的三唑脯氨酸宏环残基,三唑化脯氨酸已用于DNA编码宏环库命中物的合成优化。,4WVU为XIAP-BIR2结合宏环拮抗剂的直接结构。,该系列有体内抗肿瘤活性，但未证明口服暴露。,适合脯氨酸构象限制及侧链延伸；继续核对具体保护体。,2,结构与论文入口｜RCSB PDB 4WVU｜https://www.rcsb.org/structure/4WVU；宏环与体内药效证据｜XIAP macrocycle study｜https://pubmed.ncbi.nlm.nih.gov/25695766/,https://www.rcsb.org/ligand/3V8,4WVU
3,5,4H0,"(3S)-3-amino-4-oxo-5-(2,3,5,6-tetrafluorophenoxy)pentanoic acid",C,C级：特殊片段，需限制用途,限用途保留为底物模拟酮基片段,其氨基酮结构出现在caspase-6底物模拟物/三元复合物中。,未找到作为稳定通用内部残基的环肽证据。,无口服证据。,移入蛋白酶底物模拟与反应片段区，不作为普通NCAA推荐。,2,结构与论文入口｜RCSB PDB 4HVA｜https://www.rcsb.org/structure/4HVA；底物模拟背景｜Caspase-6 mechanism study｜https://pubmed.ncbi.nlm.nih.gov/23227217/,https://www.rcsb.org/ligand/4H0,4HVA
3,6,6A0,(2S)-2-amino-8-(hydroxyamino)-8-oxooctanoic acid,B,B级：可进入肽，但缺少口服环肽直接证据,保留为带羟肟酸侧链的赖氨酸类似物,已进入基于组蛋白H4的HDAC肽抑制剂。,5ICN中的直接证据为线性肽抑制剂，不是宏环。,未找到口服证据。,适合HDAC金属结合专题；高极性羟肟酸不应被当作通用增渗单元。,2,结构与论文入口｜RCSB PDB 5ICN｜https://www.rcsb.org/structure/5ICN；线性肽抑制剂证据｜HDAC complex study｜https://pmc.ncbi.nlm.nih.gov/articles/PMC4848466/,https://www.rcsb.org/ligand/6A0,5ICN
3,7,6L9,"[(2S)-2,3-diamino-3-oxopropyl]propanedioic acid",A,A级：有直接环肽/宏环强证据,保留为环肽表面的双羧酸/酰胺残基,该构件已通过合成进入14-3-3结合环肽。,5JM4明确为含该残基和金刚烷残基的环肽复合物。,未找到口服证据。,可用于外露极性和盐桥扫描；多羧酸通常不利于被动渗透。,1,结构与论文入口｜RCSB PDB 5JM4｜https://www.rcsb.org/structure/5JM4,https://www.rcsb.org/ligand/6L9,5JM4
3,8,A1G,"(2S)-amino[(3R,5R,7R)-tricyclo[3.3.1.1~3,7~]decan-1-yl]acetic acid",A,A级：有直接环肽/宏环强证据,保留为金刚烷基甘氨酸宏环残基,金刚烷基甘氨酸已实际进入14-3-3结合环肽。,5JM4提供直接环肽结构证据。,未找到口服证据。,适合疏水热点填充，但需重点监测溶解度和非特异结合。,1,结构与论文入口｜RCSB PDB 5JM4｜https://www.rcsb.org/structure/5JM4,https://www.rcsb.org/ligand/A1G,5JM4
3,9,AFC,"(3R,12R)-3-amino-12-methyltetradecanoic acid",A,A级：有直接环肽/宏环强证据,保留为天然环脂肽长链β-氨基酸,该长链β-氨基酸是bacillomycin Lc等天然脂肽组成单元。,2IGZ为环状脂肽bacillomycin Lc的NMR结构。,未找到口服证据。,保留于天然环脂肽专区；不作为一般口服环肽的常规替换。,1,结构与论文入口｜RCSB PDB 2IGZ｜https://www.rcsb.org/structure/2IGZ,https://www.rcsb.org/ligand/AFC,2IGZ
3,10,CHS,4-AMINO-5-CYCLOHEXYL-3-HYDROXY-PENTANOIC ACID,B,B级：可进入肽，但缺少口服环肽直接证据,保留为环己基statine样残基,已用于天冬氨酸蛋白酶的statine类肽抑制剂。,2ER0为线性蛋白酶抑制剂复合物。,未找到直接口服证据。,仅在蛋白酶过渡态模拟方向优先。,1,结构与论文入口｜RCSB PDB 2ER0｜https://www.rcsb.org/structure/2ER0,https://www.rcsb.org/ligand/CHS,2ER0
3,11,CNT,N-METHYL-META-CHLORO-TYROSINE,A,A级：有直接环肽/宏环强证据,保留为N-甲基氯代酪氨酸天然宏环残基,该残基存在于scyptolin A并有天然产物结构证据。,1OKX为弹性蛋白酶与环状scyptolin A复合物。,未找到口服证据。,适合N-甲基化和芳香疏水接触研究；注意卤代芳环代谢。,1,结构与论文入口｜RCSB PDB 1OKX｜https://www.rcsb.org/structure/1OKX,https://www.rcsb.org/ligand/CNT,1OKX
3,12,DAV,DELTA-AMINO VALERIC ACID,A,A级：有直接环肽/宏环强证据,保留为δ-氨基戊酸宏环连接单元,可作为双官能间隔单元进入肽合成。,7K2P直接显示其用于Nrf2来源KEAP1结合环肽的闭环连接。,未找到口服证据。,适合调节环尺寸；高柔性可能削弱预组织，需要构象数据配合。,1,结构与论文入口｜RCSB PDB 7K2P｜https://www.rcsb.org/structure/7K2P,https://www.rcsb.org/ligand/DAV,7K2P
3,13,DC0,N-[(2S)-2-amino-4-methylpentyl]-L-phenylalanine,EXCLUDE,排除：不是普通氨基酸单体,从单氨基酸库排除，转入还原二肽等排体库,其结构为Leu-CH2-NH-Phe型还原肽键，跨越两个残基。,4GZF来自线性HIV蛋白酶抑制肽，不是独立环肽残基。,无直接口服证据。,作为二残基肽键等排构件保存，不计入NCAA单体数量。,1,结构与论文入口｜RCSB PDB 4GZF｜https://www.rcsb.org/structure/4GZF,https://www.rcsb.org/ligand/DC0,4GZF
3,14,DMG,"N,N-DIMETHYLGLYCINE",B,B级：可进入肽，但缺少口服环肽直接证据,保留为N端二甲基甘氨酸状态，不作为普通内部残基,5CVD中的DMG表达CENP-A肽的α-N二甲基化N端。,直接结构为线性底物肽。,无口服证据。,保留于N端修饰区，并明确限制为末端状态。,2,结构与论文入口｜RCSB PDB 5CVD｜https://www.rcsb.org/structure/5CVD；N端甲基化证据｜NRMT1 substrate study｜https://pubmed.ncbi.nlm.nih.gov/26543159/,https://www.rcsb.org/ligand/DMG,5CVD
3,15,E7P,(2S)-2-amino-4-phosphonobutanoic acid,B,B级：可进入肽，但缺少口服环肽直接证据,保留为磷酸/磷酸酯等排型谷氨酸类似物,已进入合成phosphono-MLL肽类似物。,7S79为HLA结合线性肽，不是宏环。,未找到口服证据。,适合磷酸化表位和高电荷识别研究，不作为被动渗透单元。,1,结构与论文入口｜RCSB PDB 7S79｜https://www.rcsb.org/structure/7S79,https://www.rcsb.org/ligand/E7P,7S79
3,16,EE3,"(2~{S})-2-azanyl-6-(1,3-oxazol-5-ylcarbonylamino)hexanoic acid",A,A级：有直接环肽/宏环强证据,保留为侧链酰化赖氨酸宏环残基,含噁唑羰基侧链的赖氨酸已进入AF9 YEATS抑制剂。,6L5Z标题及结构明确为cyclopeptide inhibitor。,未找到口服证据。,适合表观遗传读者蛋白的侧链识别扫描。,1,结构与论文入口｜RCSB PDB 6L5Z｜https://www.rcsb.org/structure/6L5Z,https://www.rcsb.org/ligand/EE3,6L5Z
3,17,GM8,"(2S)-2-[(1S,2S)-2-aminocyclohexyl]butanoic acid",B,B级：可进入肽，但缺少口服环肽直接证据,保留为环己烷约束γ-氨基酸,已用于α/β/环γ混合骨架foldamer。,4HJB中的肽为螺旋模拟序列，并非闭合宏环。,未找到口服证据。,适合螺旋预组织和蛋白酶稳定性研究；闭环几何需另测。,1,结构与论文入口｜RCSB PDB 4HJB｜https://www.rcsb.org/structure/4HJB,https://www.rcsb.org/ligand/GM8,4HJB
3,18,GRN,2-phenyl-L-alanine,B,B级：可进入肽，但缺少口服环肽直接证据,保留为α-甲基-α-苯基甘氨酸构象单元,已进入HLA呈递的合成肽配体。,4WJ5为线性抗原肽，不是宏环。,未找到口服证据。,适合局部刚化和芳香扫描，需关注消旋与偶联效率。,1,结构与论文入口｜RCSB PDB 4WJ5｜https://www.rcsb.org/structure/4WJ5,https://www.rcsb.org/ligand/GRN,4WJ5
3,19,KV6,(3R)-3-aminoheptadecanoic acid,A,A级：有直接环肽/宏环强证据,保留为iturin天然环脂肽长链β-氨基酸,长链β-氨基酸是iturin类生物合成与全结构的一部分。,7TZ3为iturin环脂肽结构。,未找到口服证据。,保留于天然环脂肽专区；强疏水性不适合作为普通扫描残基。,1,结构与论文入口｜RCSB PDB 7TZ3｜https://www.rcsb.org/structure/7TZ3,https://www.rcsb.org/ligand/KV6,7TZ3
3,20,LAV,N-[(2S)-2-amino-4-methylpentyl]-L-valine,EXCLUDE,排除：不是普通氨基酸单体,从单氨基酸库排除，转入还原二肽等排体库,其结构是Leu-CH2-NH-Val型还原肽键，跨越两个残基。,4ER4来自线性renin抑制剂。,无直接口服证据。,不计入独立NCAA；仅用于蛋白酶抑制剂肽键等排设计。,1,结构与论文入口｜RCSB PDB 4ER4｜https://www.rcsb.org/structure/4ER4,https://www.rcsb.org/ligand/LAV,4ER4
3,21,LDO,6-HYDROXY-L-NORLEUCINE,B,B级：可进入肽，但缺少口服环肽直接证据,保留为末端羟基正亮氨酸,已进入Zika NS2B-NS3蛋白酶抑制肽MI-2260。,8AQA为线性抑制剂复合物。,未找到口服证据。,可作侧链极性及后续衍生把手；环肽应用需验证。,1,结构与论文入口｜RCSB PDB 8AQA｜https://www.rcsb.org/structure/8AQA,https://www.rcsb.org/ligand/LDO,8AQA
3,22,LHE,"N-[(2R,3S)-3-amino-2-hydroxy-5-methylhexyl]-L-norvaline",EXCLUDE,排除：不是普通氨基酸单体,从单氨基酸库排除，转入羟乙胺二肽等排体库,结构同时包含norvaline和氨基羟基异己基两部分，模拟被还原的肽键。,4TRW为线性BACE1 HEA型抑制剂。,无直接口服证据。,作为二残基过渡态模拟构件保存，不计入NCAA单体。,1,结构与论文入口｜RCSB PDB 4TRW｜https://www.rcsb.org/structure/4TRW,https://www.rcsb.org/ligand/LHE,4TRW
3,23,LXO,4-(pyridin-4-ylamino)butanoic acid,C,C级：特殊片段，需限制用途,限用途保留为含吡啶配位头的连接片段,该结构在Im-N-C4-Phe-Phe中充当吡啶配位头/柔性连接单元。,8HOU不是环肽，而是P450配体复合物。,无口服证据。,移入配位连接体区，不作为普通氨基酸推荐。,1,结构与论文入口｜RCSB PDB 8HOU｜https://www.rcsb.org/structure/8HOU,https://www.rcsb.org/ligand/LXO,8HOU
3,24,OUD,(3~{S})-3-azanyl-4-(carboxyamino)butanoic acid,C,C级：特殊片段，需限制用途,保留为短链寡脲骨架单元,5N14显示其用于非肽寡脲螺旋结构域。,当前为蛋白-寡脲复合折叠体，不是传统环肽。,无口服证据。,单列为寡脲/折叠体构件，不混入普通NCAA残基。,1,结构与论文入口｜RCSB PDB 5N14｜https://www.rcsb.org/structure/5N14,https://www.rcsb.org/ligand/OUD,5N14
3,25,OUE,(4~{S})-4-azanyl-5-(carboxyamino)pentanoic acid,C,C级：特殊片段，需限制用途,保留为长链寡脲骨架单元,5N14显示其用于非肽寡脲螺旋结构域。,当前不是传统环肽直接证据。,无口服证据。,单列为寡脲/折叠体构件，并验证专用固相合成路线。,1,结构与论文入口｜RCSB PDB 5N14｜https://www.rcsb.org/structure/5N14,https://www.rcsb.org/ligand/OUE,5N14
3,26,PBE,"1,1-DIMETHYL-PROLINIUM",B,B级：可进入肽，但缺少口服环肽直接证据,保留为N端季铵化脯氨酸状态,5CVE中的PBE表达果蝇H2B肽N端二甲基脯氨酸。,直接证据为线性底物肽。,无口服证据。,仅作为N端永久正电修饰保留，不作为内部残基或增渗单元。,2,结构与论文入口｜RCSB PDB 5CVE｜https://www.rcsb.org/structure/5CVE；N端甲基化证据｜NRMT1 substrate study｜https://pubmed.ncbi.nlm.nih.gov/26543159/,https://www.rcsb.org/ligand/PBE,5CVE
3,27,PRW,"(2R,3R)-4-AMINO-2,3-DIHYDROXYBUTANOIC ACID",B,B级：可进入肽，但缺少口服环肽直接证据,保留为可氧化切割的二羟基氨基酸,已通过合成装入periodate-cleavable HLA肽。,2X4T为线性MHC配体，不是宏环。,无口服证据。,适合作为可切割化学工具，不作为通用口服优化残基。,1,结构与论文入口｜RCSB PDB 2X4T｜https://www.rcsb.org/structure/2X4T,https://www.rcsb.org/ligand/PRW,2X4T
3,28,QF0,(3S)-3-amino-4-(naphthalen-2-yl)butanoic acid,B,B级：可进入肽，但缺少口服环肽直接证据,保留为2-萘基β3-高丙氨酸,已进入PTH1R结合的合成肽配体。,8D52为线性受体肽配体，不是宏环。,无口服证据。,适合芳香热点和β肽扫描；注意疏水性与环尺寸。,1,结构与论文入口｜RCSB PDB 8D52｜https://www.rcsb.org/structure/8D52,https://www.rcsb.org/ligand/QF0,8D52
3,29,SGK,2-(pyridin-2-ylmethylamino)ethanoic acid,B,B级：可进入肽，但缺少口服环肽直接证据,保留为吡啶甲基N-取代甘氨酸样构件,已用于优化细菌DNA滑动夹结合短肽。,7AZF中的peptide 8为线性短肽，不是宏环。,无口服证据。,可用于N端延伸和芳香杂环接触，不标为环肽验证。,2,结构与论文入口｜RCSB PDB 7AZF｜https://www.rcsb.org/structure/7AZF；线性短肽证据｜Sliding-clamp peptide study｜https://doi.org/10.1021/acs.jmedchem.1c00918,https://www.rcsb.org/ligand/SGK,7AZF
3,30,SOW,[(2-amino-2-oxoethyl)amino]acetic acid,C,C级：特殊片段，需限制用途,限用途保留为还原酰胺/peptoid样片段,该N-羧甲基甘氨酰胺结构出现在minihepcidin PR73中。,8DL7为线性minihepcidin复合物，不是普通内部α-氨基酸环肽证据。,无口服证据。,单列为肽键等排/peptidomimetic构件，验证具体保护体后再用。,1,结构与论文入口｜RCSB PDB 8DL7｜https://www.rcsb.org/structure/8DL7,https://www.rcsb.org/ligand/SOW,8DL7
3,31,T7H,3-({2-[(carboxymethyl)amino]ethyl}sulfanyl)propanoic acid,A,A级：有直接环肽/宏环强证据,保留为双羧酸硫醚宏环连接构件,文献建立了固相硫醚闭环合成路线。,8DPY直接显示其位于双HBS稳定的宏环β折叠中。,未找到口服证据。,适合构建硫醚HBS和β折叠预组织；它更像闭环连接体而非通用侧链。,2,结构与论文入口｜RCSB PDB 8DPY｜https://www.rcsb.org/structure/8DPY；宏环与固相合成证据｜Macrocyclic beta-sheet study｜https://pmc.ncbi.nlm.nih.gov/articles/PMC10592574/,https://www.rcsb.org/ligand/T7H,8DPY
3,32,TVA,"N-[(2R,3S)-3-amino-2-hydroxy-4-(thiophen-2-yl)butyl]-L-norvaline",EXCLUDE,排除：不是普通氨基酸单体,从单氨基酸库排除，转入羟乙胺二肽等排体库,结构由norvaline与氨基羟基噻吩侧链共同模拟一段肽键。,4TRZ为线性BACE1 HEA型抑制剂。,无直接口服证据。,作为二残基蛋白酶过渡态模拟构件保存。,1,结构与论文入口｜RCSB PDB 4TRZ｜https://www.rcsb.org/structure/4TRZ,https://www.rcsb.org/ligand/TVA,4TRZ
3,33,WGB,N-methyl-4-nitro-L-phenylalanine,A,A级：有直接环肽/宏环强证据,保留为硝基N-甲基苯丙氨酸硫肽残基,该N-甲基芳香残基已进入新生硫肽wTP3。,8WM0直接显示其位于高度修饰宏环硫肽中。,未找到口服证据。,保留天然产物/重编程宏环标签；硝基芳环需毒理与代谢评估。,1,结构与论文入口｜RCSB PDB 8WM0｜https://www.rcsb.org/structure/8WM0,https://www.rcsb.org/ligand/WGB,8WM0
3,34,XZP,"(1R,2R)-2-aminocyclopentane-1-carboxylic acid",B,B级：可进入肽，但缺少口服环肽直接证据,保留为trans-2-氨基环戊烷羧酸构象单元,ACPC可通过合成装入WW结构域环区。,5VTI为含ACPC环替换的线性折叠肽，不是闭合环肽。,未找到口服证据。,适合β肽与转角刚化；不能仅凭loop一词标成环肽。,1,结构与论文入口｜RCSB PDB 5VTI｜https://www.rcsb.org/structure/5VTI,https://www.rcsb.org/ligand/XZP,5VTI
3,35,Y1Y,"3-amino-2,3-dideoxy-5-O-(5-methylthiophene-2-carbonyl)-D-erythro-pentonic acid",C,C级：特殊片段，需限制用途,限用途保留为AOMK末端战头相关片段,该糖酸样结构来自caspase-8与AOMK抑制剂形成的四面体加合物。,不是稳定通用内部残基，也无环肽证据。,无口服证据。,移入共价蛋白酶抑制剂/反应中间体区。,1,结构与论文入口｜RCSB PDB 6X8H｜https://www.rcsb.org/structure/6X8H,https://www.rcsb.org/ligand/Y1Y,6X8H
3,36,ZS8,(2S)-2-amino-2-methyldec-8-ynoic acid,A,A级：有直接环肽/宏环强证据,保留为炔基α-甲基氨基酸闭环把手,炔基氨基酸已通过合成进入ExoS来源肽。,5J31为炔烃交联环肽与14-3-3复合物。,未找到口服证据。,适合点击/交联闭环和构象限制；需区分游离单体与最终交联状态。,1,结构与论文入口｜RCSB PDB 5J31｜https://www.rcsb.org/structure/5J31,https://www.rcsb.org/ligand/ZS8,5J31
